course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner,1.6m
Building Containerized Applications on AWS,Amazon Web Services,COURSE,4.4,Mixed,1.8k
Global Disease Masterclass,Imperial College London,SPECIALIZATION,4.7,Beginner,1.8k
Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1.9k
Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1.9k
Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1.9k
Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,100k
Habilidades Gerenciales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,Beginner,100k
Investment Management,University of Geneva,SPECIALIZATION,4.7,Beginner,100k
Introduction to Data Analysis Using Excel,Rice University,COURSE,4.7,Mixed,100k
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.5,Intermediate,100k
Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,100k
Moral Foundations of Politics,Yale University,COURSE,4.9,Mixed,100k
Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,100k
Boosting Creativity for Innovation,HEC Paris,COURSE,4.8,Beginner,10k
Sustainable Tourism – promoting environmental public health,University of Copenhagen,COURSE,4.6,Beginner,10k
FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,10k
Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,10k
Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,10k
Les Fondamentaux de la Négociation,ESSEC Business School,COURSE,4.7,Beginner,10k
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,110k
Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110k
An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,110k
Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,110k
Strategic Leadership and Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,110k
Gamification,University of Pennsylvania,COURSE,4.8,Mixed,110k
Introduction to the Biology of Cancer,Johns Hopkins University,COURSE,4.8,Beginner,110k
Python Programming: A Concise Introduction,Wesleyan University,COURSE,4.6,Beginner,110k
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,COURSE,4.4,Beginner,110k
Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed,110k
Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,110k
Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,110k
Data Analysis with Python,IBM,COURSE,4.7,Beginner,110k
Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110k
Astronomy: Exploring Time and Space,University of Arizona,COURSE,4.8,Beginner,110k
Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110k
"Effective Communication: Writing, Design, and Presentation",University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,110k
Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,11k
G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,11k
The Challenges of Global Health,Duke University,COURSE,4.8,Beginner,11k
Digital Advertising Strategy,University of Colorado Boulder,SPECIALIZATION,4.5,Beginner,11k
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",COURSE,4.8,Beginner,11k
Keeping up with Change: Issues for the Finance Professional,University of London,COURSE,4.7,Mixed,11k
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.8,Beginner,11k
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,11k
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,11k
Diversity and inclusion in the workplace,ESSEC Business School,COURSE,4.7,Beginner,11k
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed,11k
International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11k
Robotics,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,120k
Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,Beginner,120k
Sexualidad...mucho más que sexo,Universidad de los Andes,COURSE,4.8,Beginner,120k
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.7,Mixed,120k
Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,120k
Software Product Management,University of Alberta,SPECIALIZATION,4.6,Beginner,120k
Management of Fashion and Luxury Companies,Università Bocconi,COURSE,4.7,Mixed,120k
Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,Intermediate,120k
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,120k
Introduction to Electronics,Georgia Institute of Technology,COURSE,4.7,Mixed,120k
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120k
Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.6,Mixed,120k
"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,120k
What Is Contemporary Art?,The Museum of Modern Art,COURSE,4.7,Beginner,120k
Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed,120k
Databases and SQL for Data Science,IBM,COURSE,4.7,Beginner,120k
Tricky American English Pronunciation,"University of California, Irvine",COURSE,4.7,Beginner,120k
Web Applications for Everybody,University of Michigan,SPECIALIZATION,4.7,Intermediate,120k
Miracles of Human Language: An Introduction to Linguistics,Meertens instituut (KNAW),COURSE,4.7,Beginner,120k
Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120k
Tools for Data Science,IBM,COURSE,4.6,Beginner,120k
Search Engine Optimization (SEO),"University of California, Davis",SPECIALIZATION,4.6,Beginner,120k
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120k
Data-driven Decision Making,PwC,COURSE,4.6,Beginner,120k
Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k
Sports Marketing,Northwestern University,COURSE,4.7,Intermediate,12k
Summary Statistics in Public Health,Johns Hopkins University,COURSE,4.8,Beginner,12k
Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,12k
Managerial Accounting Fundamentals,University of Virginia,COURSE,4.9,Beginner,12k
U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k
Getting Started with AI using IBM Watson,IBM,COURSE,4.5,Beginner,12k
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12k
Understanding Modern Finance,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,12k
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,12k
Practical Data Science with MATLAB,MathWorks,SPECIALIZATION,4.8,Beginner,12k
Foundations for Big Data Analysis with SQL,Cloudera,COURSE,4.8,Beginner,12k
Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,Intermediate,130k
Social Media Marketing,Northwestern University,SPECIALIZATION,4.6,Beginner,130k
The Addicted Brain,Emory University,COURSE,4.6,Beginner,130k
English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed,130k
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,COURSE,4.8,Beginner,130k
Model Thinking,University of Michigan,COURSE,4.8,Mixed,130k
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.9,Beginner,130k
Learn to Speak Korean 1,Yonsei University,COURSE,4.9,Beginner,130k
Data Visualization and Communication with Tableau,Duke University,COURSE,4.7,Mixed,130k
Code Yourself! An Introduction to Programming,The University of Edinburgh,COURSE,4.7,Beginner,130k
A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k
Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,130k
Machine Learning with Python,IBM,COURSE,4.7,Intermediate,130k
Understanding Research Methods,University of London,COURSE,4.5,Mixed,130k
Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,130k
Business English for Non-Native Speakers,The Hong Kong University of Science and Technology,SPECIALIZATION,4.5,Beginner,130k
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,130k
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,130k
Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,13k
Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,13k
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,13k
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,COURSE,4.7,Beginner,13k
The Science of Stem Cells,American Museum of Natural History,COURSE,4.7,Intermediate,13k
Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,13k
TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,13k
Spanish for Successful Communication in Healthcare Settings,Rice University,COURSE,4.8,Intermediate,13k
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,COURSE,4.8,Mixed,13k
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,COURSE,4.6,Beginner,13k
Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner,13k
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,13k
Regulatory Compliance,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,13k
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,13k
Write A Feature Length Screenplay For Film Or Television,Michigan State University,COURSE,4.7,Beginner,13k
AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,140k
Introduction to Personal Branding,University of Virginia,COURSE,4.4,Beginner,140k
Python 3 Programming,University of Michigan,SPECIALIZATION,4.7,Beginner,140k
Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.5,Intermediate,140k
IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140k
Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140k
Getting and Cleaning Data,Johns Hopkins University,COURSE,4.6,Mixed,140k
"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,Mixed,140k
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,140k
Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,140k
The Bits and Bytes of Computer Networking,Google,COURSE,4.7,Beginner,140k
AI for Medical Diagnosis,deeplearning.ai,COURSE,4.6,Intermediate,14k
FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,14k
Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner,14k
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,COURSE,4,Intermediate,14k
Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.4,Beginner,14k
Искусство ведения бизнеса,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,14k
Практики анализа экономических данных от простого к сложному,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner,14k
Sustainable Fashion,Copenhagen Business School,COURSE,4.7,Beginner,14k
Business Model Innovation,HEC Paris,COURSE,4.7,Mixed,14k
Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner,14k
The Science of Training Young Athletes,University of Florida,COURSE,4.9,Beginner,14k
Science of Exercise,University of Colorado Boulder,COURSE,4.8,Beginner,150k
Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150k
Dog Emotion and Cognition,Duke University,COURSE,4.6,Mixed,150k
Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,COURSE,4.7,Mixed,150k
Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed,150k
Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150k
"C++ For C Programmers, Part A","University of California, Santa Cruz",COURSE,4.4,Mixed,150k
Data Science Math Skills,Duke University,COURSE,4.5,Beginner,150k
Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150k
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150k
Digital Product Management,University of Virginia,SPECIALIZATION,4.7,Beginner,150k
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,COURSE,4.7,Intermediate,150k
Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,Mixed,150k
Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150k
Introduction to Classical Music,Yale University,COURSE,4.9,Mixed,150k
Arts and Culture Strategy,National Arts Strategies,COURSE,4.7,Mixed,15k
Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,15k
The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,COURSE,4.7,Beginner,15k
Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,15k
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,15k
Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15k
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,15k
Get Interactive: Practical Teaching with Technology,University of London,COURSE,4.7,Beginner,15k
AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,15k
Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner,15k
Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,15k
Cost and Economics in Pricing Strategy,BCG,COURSE,4.8,Beginner,15k
Investment Management with Python and Machine Learning,EDHEC Business School,SPECIALIZATION,4.6,Beginner,15k
Love as a Force for Social Justice,Stanford University,COURSE,4.7,Beginner,15k
Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,15k
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,15k
"Open Source Software Development, Linux and Git",The Linux Foundation,SPECIALIZATION,4.5,Beginner,15k
Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,160k
Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,160k
De-Mystifying Mindfulness,Universiteit Leiden,COURSE,4.8,Beginner,160k
Business Metrics for Data-Driven Companies,Duke University,COURSE,4.6,Mixed,160k
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner,160k
Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,160k
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,160k
Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,Intermediate,16k
Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner,16k
"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,COURSE,4.8,Mixed,16k
Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.7,Beginner,16k
Become an EMT,University of Colorado System,SPECIALIZATION,4.8,Beginner,16k
"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",University of Rochester,COURSE,4.9,Beginner,16k
"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.9,Beginner,16k
Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,16k
Корпоративные финансы и стоимость компании,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,16k
Introduction to Probability and Data,Duke University,COURSE,4.7,Beginner,170k
How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170k
Medical Neuroscience,Duke University,COURSE,4.9,Advanced,170k
Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,170k
Customer Analytics,University of Pennsylvania,COURSE,4.6,Mixed,170k
Marketing Analytics,University of Virginia,COURSE,4.6,Beginner,170k
Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,170k
Learn SQL Basics for Data Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,170k
TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170k
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170k
SQL for Data Science,"University of California, Davis",COURSE,4.6,Beginner,170k
Java Programming: Solving Problems with Software,Duke University,COURSE,4.6,Beginner,170k
Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,17k
Sales Training for High Performing Teams,HubSpot Academy,SPECIALIZATION,4.7,Beginner,17k
Introduction to User Experience Principles and Processes,University of Michigan,COURSE,4.8,Beginner,17k
Communication Skills for Engineers,Rice University,SPECIALIZATION,4.6,Beginner,17k
Agile Analytics,University of Virginia,COURSE,4.6,Beginner,17k
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,COURSE,4.5,Advanced,17k
Sports and Society,Duke University,COURSE,4.8,Mixed,17k
Introduction to Blockchain Technologies,INSEAD,COURSE,4.7,Beginner,17k
Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,Intermediate,17k
Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,Intermediate,17k
Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,17k
Python for Data Science and AI,IBM,COURSE,4.6,Beginner,180k
Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner,180k
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.6,Mixed,180k
Responsive Website Development and Design,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,180k
Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18k
Introduction to Applied Cryptography,University of Colorado System,SPECIALIZATION,4.5,Beginner,18k
Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,18k
Preparing for the Google Cloud Professional Data Engineer Exam,Google Cloud,COURSE,4.6,Advanced,18k
Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,18k
Design Thinking for the Greater Good: Innovation in the Social Sector,University of Virginia,COURSE,4.6,Beginner,18k
Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,18k
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,COURSE,4.9,Intermediate,18k
Leadership Development for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,18k
The fundamentals of hotel distribution,ESSEC Business School,COURSE,4.7,Mixed,18k
e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age,University of Illinois at Urbana-Champaign,COURSE,4.5,Mixed,18k
Wonders of Ancient Egypt,University of Pennsylvania,COURSE,4.8,Intermediate,18k
Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,190k
Étudier en France: French Intermediate course B1-B2,École Polytechnique,COURSE,4.8,Intermediate,190k
Learn to Program: The Fundamentals,University of Toronto,COURSE,4.8,Beginner,190k
Positive Psychology,The University of North Carolina at Chapel Hill,COURSE,4.7,Mixed,190k
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,190k
Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed,190k
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,COURSE,4.8,Mixed,190k
Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,19k
Introducción a la Minería de Datos,Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner,19k
The Social Context of Mental Health and Illness,University of Toronto,COURSE,4.6,Mixed,19k
Major Depression in the Population: A Public Health Approach,Johns Hopkins University,COURSE,4.7,Beginner,19k
Основы Digital Маркетинга,National Research University Higher School of Economics,SPECIALIZATION,4.5,Intermediate,19k
Write Your First Novel,Michigan State University,COURSE,4.3,Beginner,19k
American Contract Law I,Yale University,COURSE,4.9,Beginner,19k
Introduction to Molecular Spectroscopy,University of Manchester   ,COURSE,4.7,Intermediate,19k
Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,19k
Developing the SIR Model,Imperial College London,COURSE,5,Intermediate,2.2k
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5,Beginner,2.2k
Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5,Intermediate,2.3k
Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,COURSE,4.8,Mixed,2.3m
International Security Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,2.6k
The Science of Well-Being,Yale University,COURSE,4.9,Mixed,2.6m
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.5,Beginner,2.7k
The Pronunciation of American English,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,2.7k
Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.5,Beginner,2.8k
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.7,Mixed,2.8k
English Composition I,Duke University,COURSE,4.6,Beginner,200k
Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200k
Psychological First Aid,Johns Hopkins University,COURSE,4.8,Mixed,200k
Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.7,Mixed,200k
Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200k
Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,200k
Sequence Models,deeplearning.ai,COURSE,4.8,Intermediate,200k
Ecology: Ecosystem Dynamics and Conservation,Howard Hughes Medical Institute ,COURSE,4.8,Intermediate,20k
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,20k
Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,20k
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,COURSE,4.8,Beginner,20k
Solar Energy Basics,The State University of New York,COURSE,4.8,Beginner,20k
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,20k
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,20k
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,Intermediate,20k
Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,20k
Schizophrenia,Wesleyan University,COURSE,4.7,Intermediate,20k
Big Data,University of California San Diego,SPECIALIZATION,4.5,Beginner,210k
Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210k
Think Again I: How to Understand Arguments,Duke University,COURSE,4.6,Beginner,210k
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner,210k
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,21k
International Organizations Management,University of Geneva,COURSE,4.8,Beginner,21k
Pricing Strategy Optimization,BCG,SPECIALIZATION,4.8,Beginner,21k
Sustentabilidad y Economías Sociales,Universidad de Chile,COURSE,4.7,Beginner,21k
Introduction to Computer Programming,"Goldsmiths, University of London",COURSE,4.3,Beginner,21k
Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,21k
Introduction to Key Constitutional Concepts and Supreme Court Cases,University of Pennsylvania,COURSE,4.8,Beginner,21k
Data Science: Statistics and Machine Learning,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,220k
Leading People and Teams,University of Michigan,SPECIALIZATION,4.7,Beginner,220k
Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,220k
Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220k
Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,220k
Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,22k
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate,22k
Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,22k
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,22k
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner,22k
Farmacología para odontólogos,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,22k
How to Play Guitar,Berklee College of Music,SPECIALIZATION,4.8,Beginner,230k
