course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner,230k
IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,230k
Introduction to Marketing,University of Pennsylvania,COURSE,4.8,Mixed,230k
Introduction to HTML5,University of Michigan,COURSE,4.7,Mixed,230k
Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,230k
Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,230k
Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner,230k
Using Databases with Python,University of Michigan,COURSE,4.8,Mixed,230k
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,SPECIALIZATION,4.8,Intermediate,23k
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,23k
Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,23k
The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,23k
Using Python to Interact with the Operating System,Google,COURSE,4.7,Beginner,23k
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,23k
Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23k
Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,23k
Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23k
Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner,23k
Digital Transformation in Financial Services,Copenhagen Business School,SPECIALIZATION,4.4,Beginner,23k
Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,23k
Julia Scientific Programming,University of Cape Town,COURSE,4.5,Beginner,23k
International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,23k
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,23k
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.7,Intermediate,23k
Social Psychology,Wesleyan University,COURSE,4.7,Beginner,240k
Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,240k
English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,240k
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner,240k
Machine Learning Foundations: A Case Study Approach,University of Washington,COURSE,4.6,Mixed,240k
Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,Intermediate,24k
"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,24k
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,24k
SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,24k
Embedding Sensors and Motors,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,24k
Virtual Teacher,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,24k
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,24k
The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.7,Beginner,24k
Python Classes and Inheritance,University of Michigan,COURSE,4.7,Intermediate,24k
Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,COURSE,4.8,Beginner,24k
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,COURSE,4.7,Beginner,24k
Private Equity and Venture Capital,Università Bocconi,COURSE,4.8,Mixed,24k
Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,Beginner,24k
Introduction to English Common Law,University of London,COURSE,4.8,Beginner,24k
Global Procurement and Sourcing,Rutgers the State University of New Jersey,SPECIALIZATION,4.8,Beginner,24k
Machine Learning for All,University of London,COURSE,4.7,Beginner,24k
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,COURSE,4.9,Mixed,250k
Design Thinking for Innovation,University of Virginia,COURSE,4.6,Beginner,250k
Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate,250k
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,COURSE,4.8,Mixed,250k
Managing Innovation and Design Thinking,HEC Paris,SPECIALIZATION,4.7,Beginner,25k
International Cyber Conflicts,The State University of New York,COURSE,4.5,Mixed,25k
Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,25k
Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner,25k
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,COURSE,5,Mixed,25k
Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,25k
Stochastic processes,National Research University Higher School of Economics,COURSE,4.5,Intermediate,25k
Introduction to Machine Learning,Duke University,COURSE,4.6,Intermediate,25k
Introduction to Psychology,University of Toronto,COURSE,4.9,Mixed,260k
"Programming Foundations with JavaScript, HTML and CSS",Duke University,COURSE,4.6,Beginner,260k
Cryptography I,Stanford University,COURSE,4.8,Mixed,260k
Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,260k
Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,Intermediate,260k
Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,26k
Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,26k
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,26k
Introduction to Dental Medicine,University of Pennsylvania,COURSE,4.8,Beginner,26k
Industrial Biotechnology,University of Manchester   ,COURSE,4.6,Beginner,26k
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,26k
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.9,Beginner,26k
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,26k
What is Data Science?,IBM,COURSE,4.7,Beginner,270k
Game Theory,Stanford University,COURSE,4.6,Beginner,270k
Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.6,Beginner,270k
Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,270k
Art & Inquiry: Museum Teaching Strategies For Your Classroom,The Museum of Modern Art,COURSE,4.7,Mixed,27k
Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,27k
International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,27k
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,27k
UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,27k
Managing Social and Human Capital,University of Pennsylvania,COURSE,4.5,Beginner,27k
Introduction to Programming with MATLAB,Vanderbilt University,COURSE,4.8,Beginner,280k
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,280k
Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Mixed,280k
Introduction to Mathematical Thinking,Stanford University,COURSE,4.8,Intermediate,280k
Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,COURSE,4.8,Mixed,280k
Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28k
Essential Design Principles for Tableau,"University of California, Davis",COURSE,4.5,Beginner,28k
Introduction to Cyber Attacks,New York University,COURSE,4.7,Beginner,28k
Introduction to Breast Cancer,Yale University,COURSE,4.9,Mixed,28k
Understanding International Relations Theory,National Research University Higher School of Economics,COURSE,4.7,Mixed,28k
Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,28k
Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,28k
Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,28k
Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,28k
Write Professional Emails in English,Georgia Institute of Technology,COURSE,4.7,Mixed,290k
Introduction to Psychology,Yale University,COURSE,4.9,Beginner,290k
Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,290k
Web Design for Everybody: Basics of Web Development & Coding,University of Michigan,SPECIALIZATION,4.7,Beginner,290k
The Technology of Music Production,Berklee College of Music,COURSE,4.8,Beginner,29k
The Horse Course: Introduction to Basic Care and Management,University of Florida,COURSE,4.9,Mixed,29k
The 3D Printing Revolution,University of Illinois at Urbana-Champaign,COURSE,4.7,Beginner,29k
Mindware: Critical Thinking for the Information Age,University of Michigan,COURSE,4.7,Beginner,29k
"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,29k
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,29k
Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,29k
Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner,29k
Stories of Infection,Stanford University,COURSE,4.9,Intermediate,29k
Hot Topics in Criminal Justice,Vanderbilt University,COURSE,4.5,Beginner,3.1k
Software Testing and Automation,University of Minnesota,SPECIALIZATION,4.8,Intermediate,3.2k
Machine Learning,Stanford University,COURSE,4.9,Mixed,3.2m
AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,3.4k
Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,COURSE,4.9,Beginner,3.5k
Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,Beginner,3.5k
IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3.5k
COVID-19 - A clinical update,University of Florida,COURSE,4.7,Intermediate,3.7k
Russian Alphabet,Saint Petersburg State University,COURSE,4.7,Beginner,3.7k
Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.7,Intermediate,3.8k
IBM z/OS Mainframe Practitioner,IBM,PROFESSIONAL CERTIFICATE,4.7,Beginner,3.9k
Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3.9k
Machine Learning,University of Washington,SPECIALIZATION,4.6,Intermediate,300k
Technical Support Fundamentals,Google,COURSE,4.8,Beginner,300k
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,30k
"Parallel, Concurrent, and Distributed Programming in Java",Rice University,SPECIALIZATION,4.5,Intermediate,30k
Market Research,"University of California, Davis",SPECIALIZATION,4.5,Beginner,30k
Machine Learning and Reinforcement Learning in Finance,New York University,SPECIALIZATION,3.7,Intermediate,30k
Global Diplomacy: the United Nations in the World,University of London,COURSE,4.7,Beginner,30k
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,30k
Understanding Cancer Metastasis,Johns Hopkins University,COURSE,4.8,Beginner,30k
Roman Architecture,Yale University,COURSE,4.9,Beginner,30k
Supply Chain Principles,Georgia Institute of Technology,COURSE,4.6,Mixed,30k
Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate,30k
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,COURSE,4.7,Intermediate,310k
Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k
Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k
Developing Applications with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,310k
Data Structures and Algorithms,National Research University Higher School of Economics,SPECIALIZATION,4.6,Intermediate,310k
Architecting with Google Kubernetes Engine,Google Cloud,SPECIALIZATION,4.7,Beginner,310k
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,COURSE,4.6,Intermediate,31k
Разработка интерфейсов: вёрстка и JavaScript,E-Learning Development Fund,SPECIALIZATION,4.5,Intermediate,31k
Introduction to solar cells,Technical University of Denmark (DTU),COURSE,4.8,Beginner,31k
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.8,Beginner,31k
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,COURSE,4.6,Mixed,31k
Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,31k
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,31k
Modern Art & Ideas,The Museum of Modern Art,COURSE,4.8,Beginner,320k
Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,320k
The Singer Songwriter,Berklee College of Music,SPECIALIZATION,4.8,Beginner,320k
Project Launch,"University of California, Irvine",COURSE,4.7,Beginner,320k
Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,32k
Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,32k
Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,COURSE,4.5,Beginner,32k
Chinese for HSK 1,Peking University,COURSE,4.9,Beginner,32k
Психолингвистика (Psycholinguistics),Saint Petersburg State University,COURSE,4.8,Mixed,32k
Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,32k
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",SPECIALIZATION,4.6,Beginner,32k
Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,32k
Neurolinguistics,Saint Petersburg State University,COURSE,4.8,Mixed,330k
Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,330k
Cloud Architecture with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,330k
Introduction to Data Science,IBM,SPECIALIZATION,4.6,Beginner,330k
A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,330k
Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,Beginner,33k
Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner,33k
Engineering Project Management,Rice University,SPECIALIZATION,4.7,Beginner,33k
Project Planning,"University of California, Irvine",COURSE,4.7,Beginner,33k
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",COURSE,4.7,Beginner,33k
Réussir le Changement,ESSEC Business School,COURSE,4.5,Mixed,33k
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),COURSE,4.7,Mixed,33k
Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.6,Beginner,340k
COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner,340k
CAD and Digital Manufacturing,Autodesk,SPECIALIZATION,4.7,Intermediate,34k
Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner,34k
Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Mixed,34k
Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4,Intermediate,34k
Music Business Foundations,Berklee College of Music,COURSE,4.9,Mixed,34k
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,34k
Introduction to Computer Science and Programming,"Goldsmiths, University of London",SPECIALIZATION,4.3,Beginner,34k
"Sequences, Time Series and Prediction",deeplearning.ai,COURSE,4.6,Intermediate,34k
Systems Thinking In Public Health,Johns Hopkins University,COURSE,4.6,Mixed,34k
Information Security: Context and Introduction,University of London,COURSE,4.6,Beginner,34k
Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,350k
Seeing Through Photographs,The Museum of Modern Art,COURSE,4.8,Mixed,350k
Graphic Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,350k
The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.7,Mixed,35k
Six Sigma Principles,University System of Georgia,COURSE,4.6,Beginner,35k
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,35k
Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,35k
Politics and Economics of International Energy,Sciences Po,COURSE,4.7,Beginner,35k
How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.2,Beginner,35k
Leadership in 21st Century Organizations,Copenhagen Business School,COURSE,4.7,Mixed,35k
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,COURSE,4.8,Mixed,35k
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,COURSE,4.5,Beginner,36k
EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,COURSE,4.7,Mixed,36k
Introduction to Augmented Reality and ARCore,Google AR & VR,COURSE,4.5,Beginner,36k
Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate,36k
What future for education?,UCL Institute of Education,COURSE,4.7,Mixed,36k
Dino 101: Dinosaur Paleobiology,University of Alberta,COURSE,4.9,Beginner,36k
Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Mixed,36k
Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner,370k
Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,37k
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,37k
Weight Management: Beyond Balancing Calories,Emory University,COURSE,4.7,Beginner,37k
Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,37k
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,COURSE,4.7,Mixed,37k
Internet Connection: How to Get Online?,Cisco,COURSE,4.7,Beginner,37k
International Women's Health and Human Rights,Stanford University,COURSE,4.8,Beginner,37k
Rethinking International Tax Law,Universiteit Leiden,COURSE,4.9,Mixed,37k
Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner,37k
Introduction to FPGA Design for Embedded Systems,University of Colorado Boulder,COURSE,4.6,Intermediate,37k
Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,COURSE,4.7,Beginner,37k
Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,380k
Stanford Introduction to Food and Health,Stanford University,COURSE,4.7,Beginner,380k
Introduction to Philosophy,The University of Edinburgh,COURSE,4.7,Mixed,380k
Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,38k
C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner,38k
Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate,38k
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,38k
Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,38k
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner,38k
Probability and Statistics: To p or not to p?,University of London,COURSE,4.6,Beginner,38k
Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.6,Beginner,38k
Digital Marketing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,390k
Java Programming and Software Engineering Fundamentals,Duke University,SPECIALIZATION,4.6,Beginner,390k
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.8,Beginner,39k
Kotlin for Java Developers,JetBrains,COURSE,4.7,Intermediate,39k
Practical Time Series Analysis,The State University of New York,COURSE,4.6,Intermediate,39k
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.6,Beginner,39k
Финансовые инструменты для частного инвестора,National Research University Higher School of Economics,SPECIALIZATION,4.7,Beginner,39k
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,COURSE,4.8,Mixed,39k
Success,University of Pennsylvania,COURSE,4.8,Beginner,39k
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39k
Architecting Hybrid Cloud Infrastructure with Anthos,Google Cloud,SPECIALIZATION,4.8,Intermediate,3k
Access Controls,(ISC)²,COURSE,4.6,Beginner,3k
Health Behavior Change: From Evidence to Action,Yale University,COURSE,4.8,Beginner,3k
Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,3k
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3k
Healthcare Trends for Business Professionals,Northeastern University ,SPECIALIZATION,4.2,Beginner,4.1k
Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,4.1k
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4.1k
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,4.2k
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4.3k
Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4.3k
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner,4.4k
Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.8,Intermediate,4.4k
Social Policy for Social Services & Health Practitioners,Columbia University,SPECIALIZATION,4.8,Beginner,4.4k
Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.4,Beginner,4.5k
Reducing Gun Violence in America: Evidence for Change,Johns Hopkins University,COURSE,4.7,Beginner,4.7k
Exploring Renewable Energy Schemes,University of Pennsylvania,COURSE,4.8,Beginner,4.7k
AI for Medical Prognosis,deeplearning.ai,COURSE,4.7,Intermediate,4.8k
Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4.8k
Introduction to Data Science in Python,University of Michigan,COURSE,4.5,Intermediate,400k
Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,Beginner,40k
Six Sigma Yellow Belt,University System of Georgia,SPECIALIZATION,4.6,Beginner,40k
ADHD: Everyday Strategies for Elementary Students,The State University of New York,COURSE,4.7,Beginner,40k
COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner,40k
Learn Mandarin Chinese,Shanghai Jiao Tong University,SPECIALIZATION,4.8,Beginner,40k
"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",Tel Aviv University,COURSE,4.8,Mixed,40k
Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,41k
Digital Manufacturing & Design Technology,University at Buffalo,SPECIALIZATION,4.6,Beginner,41k
Positive Psychology: Resilience Skills,University of Pennsylvania,COURSE,4.9,Beginner,41k
More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Mixed,41k
Discrete Optimization,The University of Melbourne,COURSE,4.9,Intermediate,41k
First Step Korean,Yonsei University,COURSE,4.9,Beginner,420k
IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,42k
Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,42k
Version Control with Git,Atlassian,COURSE,4.8,Mixed,42k
Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,42k
Healing with the Arts,University of Florida,COURSE,4.6,Mixed,42k
Social and Economic Networks:  Models and Analysis,Stanford University,COURSE,4.8,Advanced,42k
The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.6,Mixed,430k
Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,43k
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,COURSE,4.5,Intermediate,43k
Drug Development,University of California San Diego,COURSE,4.6,Beginner,43k
Using Python to Access Web Data,University of Michigan,COURSE,4.8,Mixed,43k
International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,43k
Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate,43k
Искусство разработки на современном C++,E-Learning Development Fund,SPECIALIZATION,4.9,Intermediate,43k
English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,43k
Virtual Reality,"Goldsmiths, University of London",SPECIALIZATION,4.7,Beginner,43k
Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,43k
Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,43k
Developing Your Musicianship,Berklee College of Music,COURSE,4.8,Mixed,43k
Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,43k
Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,440k
"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44k
"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,44k
Construction Project Management,Columbia University,COURSE,4.8,Beginner,44k
Introduction to Self-Driving Cars,University of Toronto,COURSE,4.8,Advanced,44k
Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,44k
User Interface Design,University of Minnesota,SPECIALIZATION,4.6,Intermediate,44k
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,COURSE,4.7,Mixed,450k
Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,450k
Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,45k
Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,45k
Making Architecture,IE School of Architecture & Design,COURSE,4.7,Beginner,45k
Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,46k
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.8,Mixed,46k
