course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,Beginner,47k
Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,47k
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47k
Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,48k
Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.7,Beginner,48k
"The Modern World, Part Two: Global History since 1910",University of Virginia,COURSE,4.8,Beginner,48k
Search Engine Optimization Fundamentals,"University of California, Davis",COURSE,4.7,Mixed,48k
Introduction to Artificial Intelligence (AI),IBM,COURSE,4.7,Beginner,48k
Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,48k
R Programming,Johns Hopkins University,COURSE,4.6,Intermediate,490k
Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,490k
The Art of Music Production,Berklee College of Music,COURSE,4.8,Intermediate,49k
The Manager's Toolkit: A Practical Guide to Managing People at Work,University of London,COURSE,4.6,Mixed,49k
Unraveling the Cycling City,University of Amsterdam,COURSE,4.9,Intermediate,4k
Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.5,Beginner,5.1k
Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate,5.1k
Ordered Data Structures,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,5.1k
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,5.2k
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,COURSE,4.7,Beginner,5.3k
Reporting extra-financier et stratégie RSE,ESSEC Business School,COURSE,4.7,Beginner,5.3k
Claves para la innovación en la docencia universitaria,Universitat de Barcelona,COURSE,4.8,Mixed,5.3k
Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,COURSE,4.8,Beginner,5.5k
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.5k
Writing and Editing: Word Choice and Word Order,University of Michigan,COURSE,4.6,Beginner,5.6k
Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.7,Beginner,5.6k
The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,5.6k
Troubles du spectre de l'autisme : diagnostic,University of Geneva,COURSE,4.9,Intermediate,5.7k
Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,5.7k
Privacy Law and Data Protection,University of Pennsylvania,COURSE,4.8,Mixed,5.8k
Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner,5.9k
Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5.9k
Sales Operations/Management,West Virginia University,SPECIALIZATION,4.4,Beginner,5.9k
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,COURSE,4.8,Beginner,50k
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,50k
Introduction to Forensic Science,"Nanyang Technological University, Singapore",COURSE,4.9,Mixed,50k
"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,50k
Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner,50k
Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed,50k
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed,50k
Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,Advanced,50k
Marketing Gerencial,Universidad de Chile,COURSE,4.7,Intermediate,50k
IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,510k
Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner,51k
Análisis de Datos para la toma de decisiones,Tecnológico de Monterrey,SPECIALIZATION,4.3,Intermediate,51k
Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,Beginner,51k
Supporting children with difficulties in reading and writing,UCL Institute of Education,COURSE,4.8,Mixed,51k
Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.8,Beginner,51k
Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,520k
Mathematical Thinking in Computer Science,National Research University Higher School of Economics,COURSE,4.4,Beginner,52k
Программирование на Python,Mail.Ru Group,SPECIALIZATION,4.5,Intermediate,52k
Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,52k
Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,Beginner,53k
From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,53k
Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Mixed,53k
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,53k
Managing the Company of the Future,London Business School,COURSE,4.8,Mixed,53k
Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,COURSE,4.8,Mixed,53k
Introduction to Scripting in Python,Rice University,SPECIALIZATION,4.7,Beginner,53k
Devenir entrepreneur du changement,Ticket for Change,COURSE,4.7,Mixed,54k
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,54k
Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,54k
Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,550k
Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,55k
Introduction to Imagemaking,California Institute of the Arts,COURSE,4.5,Beginner,55k
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,COURSE,4.7,Beginner,56k
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.9,Beginner,56k
Effective Business Presentations with Powerpoint,PwC,COURSE,4.6,Beginner,56k
Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,57k
Visual Elements of User Interface Design,California Institute of the Arts,COURSE,4.7,Beginner,57k
Behavioral Finance,Duke University,COURSE,4.4,Mixed,57k
Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,COURSE,4.7,Intermediate,57k
Introduction to Calculus,The University of Sydney,COURSE,4.8,Intermediate,57k
Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner,58k
Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,58k
Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,58k
Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,58k
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,58k
Marketing Verde,Universidad de los Andes,COURSE,4.8,Mixed,59k
Marketing Strategy,IE Business School,SPECIALIZATION,4.4,Beginner,59k
Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,59k
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,59k
Dentistry 101,University of Michigan,COURSE,4.7,Beginner,5k
Code Free Data Science,University of California San Diego,COURSE,4.2,Beginner,5k
Managing Major Engineering Projects,University of Leeds,SPECIALIZATION,4.6,Intermediate,6.1k
Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,6.1k
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,COURSE,4.7,Intermediate,6.2k
Introduction to Intellectual Property,University of Pennsylvania,COURSE,4.8,Beginner,6.3k
"Smart Analytics, Machine Learning, and AI on GCP",Google Cloud,COURSE,4.6,Intermediate,6.5k
Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate,6.5k
What is Compliance?,University of Pennsylvania,COURSE,4.8,Mixed,6.5k
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate,6.6k
Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6.7k
Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6.8k
Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6.9k
Oil & Gas Industry Operations and Markets,Duke University,COURSE,4.8,Mixed,60k
Bioinformatics,University of California San Diego,SPECIALIZATION,4.5,Beginner,60k
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,60k
Claves para Gestionar Personas,IESE Business School,COURSE,4.8,Mixed,61k
Data Visualization with Advanced Excel,PwC,COURSE,4.8,Beginner,61k
Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Mixed,61k
Digital Product Management: Modern Fundamentals,University of Virginia,COURSE,4.7,Beginner,61k
Strategic Business Analytics,ESSEC Business School,SPECIALIZATION,4.3,Advanced,61k
Marketing con Redes Sociales,Tecnológico de Monterrey,SPECIALIZATION,4.4,Intermediate,61k
Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,62k
Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner,62k
Gut Check: Exploring Your Microbiome,University of California San Diego,COURSE,4.7,Mixed,62k
Sharpened Visions: A Poetry Workshop,California Institute of the Arts,COURSE,4.7,Beginner,62k
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,COURSE,4.8,Beginner,62k
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,COURSE,4.8,Mixed,63k
Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.8,Mixed,63k
"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,63k
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,63k
Improving Communication Skills,University of Pennsylvania,COURSE,4.7,Beginner,64k
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,64k
Big History: Connecting Knowledge,Macquarie University,COURSE,4.8,Mixed,64k
Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,Intermediate,650k
AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,65k
Machine Learning for Business Professionals,Google Cloud,COURSE,4.6,Intermediate,65k
Value Chain Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,65k
System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner,65k
How Google does Machine Learning,Google Cloud,COURSE,4.6,Intermediate,65k
Desarrollo de aplicaciones móviles con Android,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,65k
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,65k
Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,66k
Administración de Proyectos: Principios Básicos,Tecnológico de Monterrey,SPECIALIZATION,4.6,Beginner,66k
Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66k
Blockchain Basics,The State University of New York,COURSE,4.6,Beginner,67k
Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,67k
Financial Engineering and Risk Management Part II,Columbia University,COURSE,4.7,Mixed,67k
Interviewing and Resume Writing in English,"University of Maryland, College Park",SPECIALIZATION,4.6,Intermediate,67k
IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,67k
Introduction to Software Product Management,University of Alberta,COURSE,4.6,Mixed,67k
Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,67k
Computational Neuroscience,University of Washington,COURSE,4.7,Beginner,68k
Математика и Python для анализа данных,Yandex,COURSE,4.8,Beginner,68k
Digital Transformation,BCG,COURSE,4.8,Beginner,68k
Data Visualization with Python,IBM,COURSE,4.6,Intermediate,69k
Probabilistic Graphical Models 1: Representation,Stanford University,COURSE,4.7,Advanced,69k
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,COURSE,4.8,Mixed,69k
Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate,69k
Design and Interpretation of Clinical Trials,Johns Hopkins University,COURSE,4.7,Mixed,69k
Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,69k
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,6k
Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.5,Beginner,6k
Cultural Competence - Aboriginal Sydney,The University of Sydney,COURSE,4.7,Beginner,6k
Objetivos de desarrollo sostenible para América Latina y el Caribe,Universidad de los Andes,COURSE,4.8,Beginner,7.1k
Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,7.1k
Sample-based Learning Methods,University of Alberta,COURSE,4.8,Intermediate,7.2k
Legal Tech & Startups,IE Business School,COURSE,4.5,Intermediate,7.5k
Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7.5k
Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,7.6k
Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.6,Beginner,7.7k
Requirements Engineering: Secure Software  Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner,7.7k
EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7.9k
Race and Cultural Diversity in American Life and History,University of Illinois at Urbana-Champaign,COURSE,4.5,Beginner,7.9k
Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7.9k
Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,70k
Supply Chain Logistics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,70k
Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,70k
Éxito Profesional,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,70k
Quantitative Methods,University of Amsterdam,COURSE,4.7,Mixed,70k
Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,70k
Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,71k
Probabilistic Graphical Models,Stanford University,SPECIALIZATION,4.6,Advanced,71k
Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,71k
Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,Intermediate,720k
Preparing to Manage Human Resources,University of Minnesota,COURSE,4.8,Mixed,72k
Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.2,Beginner,72k
Wind Energy,Technical University of Denmark (DTU),COURSE,4.7,Mixed,72k
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,72k
The Ancient Greeks,Wesleyan University,COURSE,4.7,Mixed,72k
Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,73k
Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,73k
Introduction to Sustainability,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,73k
Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,73k
UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,74k
Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Intermediate,74k
Introduction to Typography,California Institute of the Arts,COURSE,4.8,Beginner,74k
Managing Project Risks and Changes,"University of California, Irvine",COURSE,4.7,Mixed,74k
Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,74k
Chinese for Beginners,Peking University,COURSE,4.8,Mixed,750k
Microeconomics Principles,University of Illinois at Urbana-Champaign,COURSE,4.8,Beginner,75k
Business Technology Management,Indian School of Business,SPECIALIZATION,4.6,Beginner,75k
Spanish Vocabulary: Meeting People,"University of California, Davis",COURSE,4.6,Beginner,75k
Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,760k
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,76k
Introduction to Genetics and Evolution,Duke University,COURSE,4.8,Mixed,76k
Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,76k
Programming Fundamentals,Duke University,COURSE,4.7,Beginner,76k
Moralities of Everyday Life,Yale University,COURSE,4.8,Mixed,76k
Digital Analytics for Marketing Professionals: Marketing Analytics in Theory,University of Illinois at Urbana-Champaign,COURSE,4.5,Mixed,76k
Learning to Teach Online,UNSW Sydney (The University of New South Wales),COURSE,4.7,Beginner,76k
Successful Negotiation: Essential Strategies and Skills,University of Michigan,COURSE,4.8,Mixed,770k
Introduction to Spreadsheets and Models,University of Pennsylvania,COURSE,4.2,Mixed,77k
Ancient Philosophy: Plato & His Predecessors,University of Pennsylvania,COURSE,4.8,Mixed,77k
iOS App Development with Swift,University of Toronto,SPECIALIZATION,3.9,Intermediate,77k
Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,77k
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,COURSE,4.5,Beginner,78k
Машинное обучение и анализ данных,E-Learning Development Fund,SPECIALIZATION,4.7,Intermediate,78k
Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,79k
"Social Norms, Social Change I",Unicef,COURSE,4.6,Beginner,79k
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,79k
Magic in the Middle Ages,Universitat de Barcelona,COURSE,4.6,Beginner,79k
Foundations of Data Science: K-Means Clustering in Python,"Goldsmiths, University of London",COURSE,4.7,Beginner,7k
Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,Intermediate,8.2k
Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,8.4k
Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,8.4k
L'excellence opérationnelle en pratique,ESSEC Business School,COURSE,4.7,Beginner,8.4k
"Living with Dementia: Impact on Individuals, Caregivers, Communities and Societies",Johns Hopkins University,COURSE,4.7,Beginner,8.5k
Japanese for beginners 1,Saint Petersburg State University,COURSE,2.8,Beginner,8.7k
Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,8.7k
Développement psychologique de l'enfant,University of Geneva,COURSE,4.9,Beginner,8.8k
Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8.9k
Career Success,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,800k
Business English: Networking,University of Washington,COURSE,4.7,Intermediate,80k
Understanding Financial Markets,University of Geneva,COURSE,4.7,Beginner,80k
Understanding Clinical Research: Behind the Statistics,University of Cape Town,COURSE,4.8,Mixed,80k
Operating Systems and You: Becoming a Power User,Google,COURSE,4.7,Beginner,80k
Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,COURSE,4.6,Intermediate,80k
English for Career Development,University of Pennsylvania,COURSE,4.8,Mixed,810k
Global Diplomacy – Diplomacy in the Modern World,University of London,COURSE,4.6,Mixed,81k
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,81k
Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,81k
Introduction to Game Development,Michigan State University,COURSE,4.8,Mixed,81k
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",SPECIALIZATION,4.5,Intermediate,81k
Introduction to Web Development,"University of California, Davis",COURSE,4.7,Beginner,81k
Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,81k
Operations Analytics,University of Pennsylvania,COURSE,4.7,Mixed,81k
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,82k
Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,82k
Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,83k
Teach English Now! Foundational Principles,Arizona State University,COURSE,4.9,Mixed,83k
Perfect Tenses and Modals,"University of California, Irvine",COURSE,4.7,Intermediate,83k
Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,83k
程序设计与算法,Peking University,SPECIALIZATION,4.8,Beginner,84k
User Experience Research and Design,University of Michigan,SPECIALIZATION,4.8,Beginner,84k
Game Design: Art and Concepts,California Institute of the Arts,SPECIALIZATION,4.6,Beginner,84k
Economics of Money and Banking,Columbia University,COURSE,4.9,Mixed,84k
Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,850k
Основы программирования на Python,National Research University Higher School of Economics,COURSE,4.6,Beginner,85k
Marketing Digital,Universidade de São Paulo,COURSE,4.8,Beginner,85k
Introduction to International Criminal Law,Case Western Reserve University,COURSE,4.8,Mixed,85k
The Global Financial Crisis,Yale University,COURSE,4.8,Mixed,86k
People Analytics,University of Pennsylvania,COURSE,4.5,Mixed,86k
Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed,86k
The Business of Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,86k
Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,86k
Personal & Family Financial Planning,University of Florida,COURSE,4.6,Mixed,86k
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed,87k
Supply Chain Management,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,87k
Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,87k
Introduction to Operations Management,University of Pennsylvania,COURSE,4.5,Mixed,88k
Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed,88k
Introduction to Programming in C,Duke University,SPECIALIZATION,4.6,Beginner,88k
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,Mixed,88k
Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,88k
Introduction to CSS3,University of Michigan,COURSE,4.8,Mixed,89k
Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,89k
Supply Chain Analytics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,9.1k
Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.5,Intermediate,9.1k
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,University of Pennsylvania,COURSE,4.6,Mixed,9.2k
Inclusión social de personas con discapacidad desde un enfoque de derechos.,Universidad de Chile,COURSE,4.5,Beginner,9.2k
Dermatology: Trip to skin,Novosibirsk State University ,COURSE,4.4,Beginner,9.3k
Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,9.3k
Patient Safety,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,9.3k
Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner,9.4k
Math behind Moneyball,University of Houston System,COURSE,4.5,Beginner,9.5k
Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,9.5k
Strategic Sales Management,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,9.6k
Soporte de Tecnologías de la Información de Google,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,9.6k
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,COURSE,4.9,Intermediate,9.7k
Palo Alto Networks Cybersecurity,Palo Alto Networks,SPECIALIZATION,4.6,Beginner,9.8k
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9.9k
Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9.9k
Introduction to G Suite,Google Cloud,COURSE,4.7,Beginner,9.9k
University Teaching,The University of Hong Kong,COURSE,4.8,Beginner,9.9k
Introduction to User Experience Design,Georgia Institute of Technology,COURSE,4.5,Beginner,90k
Understanding Einstein: The Special Theory of Relativity,Stanford University,COURSE,4.9,Beginner,91k
Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,91k
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,COURSE,4.8,Beginner,91k
Business Strategy,University of Virginia,SPECIALIZATION,4.7,Beginner,91k
Introduction to Public Speaking,University of Washington,COURSE,4.8,Beginner,92k
Data Science Methodology,IBM,COURSE,4.6,Beginner,92k
A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,93k
Organizational Leadership,Northwestern University,SPECIALIZATION,4.7,Intermediate,93k
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.6,Intermediate,93k
Pensamiento Científico,Universidad Nacional Autónoma de México,COURSE,4.7,Mixed,94k
Marketing Mix Implementation,IE Business School,SPECIALIZATION,4.6,Beginner,95k
Principles of Sustainable Finance,Erasmus University Rotterdam,COURSE,4.6,Intermediate,95k
Problem Solving with Excel,PwC,COURSE,4.7,Beginner,96k
Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,97k
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Mixed,97k
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,97k
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,COURSE,4.8,Mixed,97k
Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,98k
Introduction to Search Engine Optimization,"University of California, Davis",COURSE,4.6,Mixed,98k
Data Visualization with Tableau,"University of California, Davis",SPECIALIZATION,4.5,Beginner,98k
Design and Make Infographics (Project-Centered Course),Michigan State University,COURSE,4.7,Mixed,99k
Developing Industrial Internet of Things,University of Colorado Boulder,SPECIALIZATION,4.6,Intermediate,9k
Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,9k